0,-0.070616,-0.18118,-0.11049,0.094173
0,0.022989,-0.19074,-0.016447,0.06657
1,-0.084049,-0.181,-0.0098437,0.10114
1,0.047715,-0.22023,-0.045151,0.10547
2,0.087835,-0.17033,-0.13658,-0.11942
2,0.14551,-0.27909,-0.11854,-0.048073
3,0.11885,-0.18304,-0.14378,-0.24612
3,0.15721,-0.38247,-0.027881,-0.088626
4,0.12708,-0.17186,-0.178,-0.16149
4,0.16481,-0.41387,-0.15228,-0.13833
5,0.055484,-0.15971,-0.14953,-0.1779
5,0.16604,-0.39037,-0.040674,-0.13698
6,0.099662,-0.15838,-0.14613,-0.17532
6,0.121,-0.42794,-0.076698,-0.13752
7,0.041974,-0.12585,-0.10947,-0.16152
7,0.10613,-0.28772,-0.013569,-0.083368
8,0.0099567,-0.10018,-0.14959,-0.16214
8,0.069785,-0.23094,-0.082003,-0.086969
9,-0.008061,-0.088721,-0.079625,-0.14375
9,0.058475,-0.14689,-0.039407,-0.027431
